job_id,job_title,company_name,industry,location,employment_type,experience_level,salary_min_usd,salary_max_usd,required_skills,languages_required,degree_required,posted_date,is_active,description
JOB00001,Site Engineer,China State Construction Engineering Corporation,Construction,Sihanoukville,Full-time,Senior,1250,3414,"Driving License, SQL, JavaScript",Khmer,Diploma,2025-11-10,False,We are seeking a talented Site Engineer to join China State Construction Engineering Corporation. This position offers competitive salary and benefits in Construction.
JOB00002,Marketing Coordinator,Chip Mong Land,Real Estate,Battambang,Internship,Mid Level,958,2059,"Python, PowerPoint, Driving License, SEO, Time Management","Khmer, English",Diploma,2025-09-03,True,We are seeking a talented Marketing Coordinator to join Chip Mong Land. This position offers competitive salary and benefits in Real Estate.
JOB00003,Event Coordinator,Sofitel Phnom Penh Phokeethra,Hospitality/Tourism,Kampong Chhnang,Contract,Entry Level,241,852,"Khmer, Node.js, Adobe Illustrator",Khmer,PhD,2025-11-02,False,We are seeking a talented Event Coordinator to join Sofitel Phnom Penh Phokeethra. This position offers competitive salary and benefits in Hospitality/Tourism.
JOB00004,Sales Representative,Cambodia Rice Federation,Agriculture,Battambang,Contract,Mid Level,471,1293,"Teamwork, React, Adobe Illustrator","Khmer, English, Chinese",Master,2025-09-19,True,We are seeking a talented Sales Representative to join Cambodia Rice Federation. This position offers competitive salary and benefits in Agriculture.
JOB00005,Auditor,Maybank Cambodia,Banking/Finance,Kampong Chhnang,Part-time,Mid Level,673,1346,"PowerPoint, Khmer, Adobe Illustrator, Time Management","Khmer, English, French",Diploma,2025-09-13,True,We are seeking a talented Auditor to join Maybank Cambodia. This position offers competitive salary and benefits in Banking/Finance.
JOB00006,Farm Manager,Confirel Agriculture,Agriculture,Takeo,Contract,Entry Level,356,823,"Communication, Digital Marketing, French",English,None,2025-10-12,True,We are seeking a talented Farm Manager to join Confirel Agriculture. This position offers competitive salary and benefits in Agriculture.
JOB00007,Store Manager,Parkway Square,Retail,Takeo,Internship,Senior,1764,4894,"Teamwork, Microsoft Office, French, HTML/CSS, Java",Khmer,Diploma,2025-09-20,True,We are seeking a talented Store Manager to join Parkway Square. This position offers competitive salary and benefits in Retail.
JOB00008,Video Editor,MYTV,Media/Advertising,Kampong Chhnang,Internship,Entry Level,248,890,"Python, Node.js, Time Management, SEO, Project Management",English,Diploma,2025-10-12,True,We are seeking a talented Video Editor to join MYTV. This position offers competitive salary and benefits in Media/Advertising.
JOB00009,Operations Manager,Mekong Express,Transportation,Kampong Cham,Part-time,Mid Level,919,1417,"Adobe Photoshop, PowerPoint, Python, Digital Marketing",English,High School,2025-11-25,True,We are seeking a talented Operations Manager to join Mekong Express. This position offers competitive salary and benefits in Transportation.
JOB00010,Farm Manager,Cambodia Rice Federation,Agriculture,Siem Reap,Full-time,Entry Level,211,1080,"PHP, Adobe Illustrator, Time Management, Chinese, French, Driving License",English,PhD,2025-11-18,True,We are seeking a talented Farm Manager to join Cambodia Rice Federation. This position offers competitive salary and benefits in Agriculture.
JOB00011,Doctor,U-Care Pharmacy,Healthcare,Kampong Thom,Internship,Mid Level,719,2017,"Node.js, French, Chinese, SQL, PowerPoint, Python","Khmer, English, French",PhD,2025-11-10,False,We are seeking a talented Doctor to join U-Care Pharmacy. This position offers competitive salary and benefits in Healthcare.
JOB00012,Production Supervisor,Pou Chen Group Cambodia,Manufacturing,Phnom Penh,Contract,Entry Level,208,569,"Problem Solving, Time Management, French","Khmer, English",PhD,2025-11-23,False,We are seeking a talented Production Supervisor to join Pou Chen Group Cambodia. This position offers competitive salary and benefits in Manufacturing.
JOB00013,Property Manager,AEON Mall,Real Estate,Siem Reap,Full-time,Executive,2833,6559,"Social Media, Communication, Chinese, Teamwork, Driving License, Adobe Photoshop",Khmer,None,2025-09-17,True,We are seeking a talented Property Manager to join AEON Mall. This position offers competitive salary and benefits in Real Estate.
JOB00014,System Administrator,SabaiCode,IT/Software,Battambang,Internship,Entry Level,213,696,"Driving License, Accounting, Time Management, Khmer","Khmer, English",High School,2025-10-14,False,We are seeking a talented System Administrator to join SabaiCode. This position offers competitive salary and benefits in IT/Software.
JOB00015,Restaurant Manager,Raffles Hotel Le Royal,Hospitality/Tourism,Battambang,Part-time,Entry Level,398,595,"French, Problem Solving, React, Driving License, Customer Service, JavaScript","Khmer, English",Master,2025-12-09,True,We are seeking a talented Restaurant Manager to join Raffles Hotel Le Royal. This position offers competitive salary and benefits in Hospitality/Tourism.
JOB00016,Visual Merchandiser,Sorya Shopping Centre,Retail,Kampong Speu,Part-time,Senior,1433,4776,"Project Management, Communication, Java, Digital Marketing",Khmer,High School,2025-09-26,True,We are seeking a talented Visual Merchandiser to join Sorya Shopping Centre. This position offers competitive salary and benefits in Retail.
